Percent,WinLoss,StrategyProcess
-5.4%,6/7,zenbot sim gdax.LTC-USD --strategy=sar --start=20181201 --end=20190101  --period=2m --min_periods=200 --sell_stop_pct=0.1 --profit_stop_enable_pct=6 --max_slippage_pct=0 --order_type=taker --sar_af=0.005 --sar_max=0.07 --silent
-5.4%,6/7,zenbot sim gdax.LTC-USD --strategy=sar --start=20181201 --end=20190101  --period=2m --min_periods=200 --sell_stop_pct=0.1 --profit_stop_enable_pct=6 --max_slippage_pct=0 --order_type=taker --sar_af=0.005 --sar_max=0.1 --silent
-5.4%,6/7,zenbot sim gdax.LTC-USD --strategy=sar --start=20181201 --end=20190101  --period=2m --min_periods=200 --sell_stop_pct=0.1 --profit_stop_enable_pct=6 --max_slippage_pct=0 --order_type=taker --sar_af=0.005 --sar_max=0.15 --silent
-5.4%,6/7,zenbot sim gdax.LTC-USD --strategy=sar --start=20181201 --end=20190101  --period=2m --min_periods=200 --sell_stop_pct=0.1 --profit_stop_enable_pct=6 --max_slippage_pct=0 --order_type=taker --sar_af=0.005 --sar_max=0.2 --silent
-5.4%,6/7,zenbot sim gdax.LTC-USD --strategy=sar --start=20181201 --end=20190101  --period=2m --min_periods=200 --sell_stop_pct=0.1 --profit_stop_enable_pct=6 --max_slippage_pct=0 --order_type=taker --sar_af=0.005 --sar_max=0.25 --silent
-5.4%,6/7,zenbot sim gdax.LTC-USD --strategy=sar --start=20181201 --end=20190101  --period=2m --min_periods=200 --sell_stop_pct=0.1 --profit_stop_enable_pct=6 --max_slippage_pct=0 --order_type=taker --sar_af=0.005 --sar_max=0.3 --silent
-5.4%,6/7,zenbot sim gdax.LTC-USD --strategy=sar --start=20181201 --end=20190101  --period=2m --min_periods=200 --sell_stop_pct=0.1 --profit_stop_enable_pct=6 --max_slippage_pct=0 --order_type=taker --sar_af=0.005 --sar_max=0.35 --silent
-4.74%,6/9,zenbot sim gdax.LTC-USD --strategy=sar --start=20181201 --end=20190101  --period=2m --min_periods=200 --sell_stop_pct=0.1 --profit_stop_enable_pct=6 --max_slippage_pct=0 --order_type=taker --sar_af=0.01 --sar_max=0.07 --silent
-4.74%,6/9,zenbot sim gdax.LTC-USD --strategy=sar --start=20181201 --end=20190101  --period=2m --min_periods=200 --sell_stop_pct=0.1 --profit_stop_enable_pct=6 --max_slippage_pct=0 --order_type=taker --sar_af=0.01 --sar_max=0.1 --silent
-4.74%,6/9,zenbot sim gdax.LTC-USD --strategy=sar --start=20181201 --end=20190101  --period=2m --min_periods=200 --sell_stop_pct=0.1 --profit_stop_enable_pct=6 --max_slippage_pct=0 --order_type=taker --sar_af=0.01 --sar_max=0.15 --silent
-4.74%,6/9,zenbot sim gdax.LTC-USD --strategy=sar --start=20181201 --end=20190101  --period=2m --min_periods=200 --sell_stop_pct=0.1 --profit_stop_enable_pct=6 --max_slippage_pct=0 --order_type=taker --sar_af=0.01 --sar_max=0.2 --silent
-4.74%,6/9,zenbot sim gdax.LTC-USD --strategy=sar --start=20181201 --end=20190101  --period=2m --min_periods=200 --sell_stop_pct=0.1 --profit_stop_enable_pct=6 --max_slippage_pct=0 --order_type=taker --sar_af=0.01 --sar_max=0.25 --silent
-4.74%,6/9,zenbot sim gdax.LTC-USD --strategy=sar --start=20181201 --end=20190101  --period=2m --min_periods=200 --sell_stop_pct=0.1 --profit_stop_enable_pct=6 --max_slippage_pct=0 --order_type=taker --sar_af=0.01 --sar_max=0.3 --silent
-4.74%,6/9,zenbot sim gdax.LTC-USD --strategy=sar --start=20181201 --end=20190101  --period=2m --min_periods=200 --sell_stop_pct=0.1 --profit_stop_enable_pct=6 --max_slippage_pct=0 --order_type=taker --sar_af=0.01 --sar_max=0.35 --silent
