Percent,WinLoss,StrategyProcess
0%,0/0,zenbot sim gdax.LTC-USD --strategy=trend_ema --start=20190101 --end=20190201  --period=2m --min_periods=200 --sell_stop_pct=0.1 --profit_stop_enable_pct=6 --max_slippage_pct=0 --trend_ema=10 --neutral_rate=0 --oversold_rsi_periods=5 --oversold_rsi=5 --order_type=taker --silent
-1.87%,2/8,zenbot sim gdax.LTC-USD --strategy=trend_ema --start=20190101 --end=20190201  --period=2m --min_periods=200 --sell_stop_pct=0.1 --profit_stop_enable_pct=6 --max_slippage_pct=0 --trend_ema=10 --neutral_rate=0 --oversold_rsi_periods=5 --oversold_rsi=5 --order_type=maker --silent
8.42%,5/10,zenbot sim gdax.LTC-USD --strategy=trend_ema --start=20190101 --end=20190201  --period=2m --min_periods=200 --sell_stop_pct=0.1 --profit_stop_enable_pct=6 --max_slippage_pct=0 --trend_ema=10 --neutral_rate=0 --oversold_rsi_periods=5 --oversold_rsi=8 --order_type=taker --silent
8.36%,5/10,zenbot sim gdax.LTC-USD --strategy=trend_ema --start=20190101 --end=20190201  --period=2m --min_periods=200 --sell_stop_pct=0.1 --profit_stop_enable_pct=6 --max_slippage_pct=0 --trend_ema=10 --neutral_rate=0 --oversold_rsi_periods=5 --oversold_rsi=8 --order_type=maker --silent
-35.95%,6/11,zenbot sim gdax.LTC-USD --strategy=trend_ema --start=20190101 --end=20190201  --period=2m --min_periods=200 --sell_stop_pct=0.1 --profit_stop_enable_pct=6 --max_slippage_pct=0 --trend_ema=10 --neutral_rate=0 --oversold_rsi_periods=5 --oversold_rsi=10 --order_type=taker --silent
-35.98%,6/11,zenbot sim gdax.LTC-USD --strategy=trend_ema --start=20190101 --end=20190201  --period=2m --min_periods=200 --sell_stop_pct=0.1 --profit_stop_enable_pct=6 --max_slippage_pct=0 --trend_ema=10 --neutral_rate=0 --oversold_rsi_periods=5 --oversold_rsi=10 --order_type=maker --silent
-28.64%,9/12,zenbot sim gdax.LTC-USD --strategy=trend_ema --start=20190101 --end=20190201  --period=2m --min_periods=200 --sell_stop_pct=0.1 --profit_stop_enable_pct=6 --max_slippage_pct=0 --trend_ema=10 --neutral_rate=0 --oversold_rsi_periods=5 --oversold_rsi=15 --order_type=taker --silent
-28.96%,9/12,zenbot sim gdax.LTC-USD --strategy=trend_ema --start=20190101 --end=20190201  --period=2m --min_periods=200 --sell_stop_pct=0.1 --profit_stop_enable_pct=6 --max_slippage_pct=0 --trend_ema=10 --neutral_rate=0 --oversold_rsi_periods=5 --oversold_rsi=15 --order_type=maker --silent
0%,0/0,zenbot sim gdax.LTC-USD --strategy=trend_ema --start=20190101 --end=20190201  --period=2m --min_periods=200 --sell_stop_pct=0.1 --profit_stop_enable_pct=6 --max_slippage_pct=0 --trend_ema=10 --neutral_rate=0 --oversold_rsi_periods=5 --oversold_rsi=20 --order_type=taker --silent
0%,0/0,zenbot sim gdax.LTC-USD --strategy=trend_ema --start=20190101 --end=20190201  --period=2m --min_periods=200 --sell_stop_pct=0.1 --profit_stop_enable_pct=6 --max_slippage_pct=0 --trend_ema=10 --neutral_rate=0 --oversold_rsi_periods=5 --oversold_rsi=20 --order_type=maker --silent
0%,0/0,zenbot sim gdax.LTC-USD --strategy=trend_ema --start=20190101 --end=20190201  --period=2m --min_periods=200 --sell_stop_pct=0.1 --profit_stop_enable_pct=6 --max_slippage_pct=0 --trend_ema=10 --neutral_rate=0 --oversold_rsi_periods=5 --oversold_rsi=25 --order_type=taker --silent
0%,0/0,zenbot sim gdax.LTC-USD --strategy=trend_ema --start=20190101 --end=20190201  --period=2m --min_periods=200 --sell_stop_pct=0.1 --profit_stop_enable_pct=6 --max_slippage_pct=0 --trend_ema=10 --neutral_rate=0 --oversold_rsi_periods=5 --oversold_rsi=25 --order_type=maker --silent
-0.08%,2/4,zenbot sim gdax.LTC-USD --strategy=trend_ema --start=20190101 --end=20190201  --period=2m --min_periods=200 --sell_stop_pct=0.1 --profit_stop_enable_pct=6 --max_slippage_pct=0 --trend_ema=10 --neutral_rate=0 --oversold_rsi_periods=7 --oversold_rsi=5 --order_type=taker --silent
-0.17%,2/4,zenbot sim gdax.LTC-USD --strategy=trend_ema --start=20190101 --end=20190201  --period=2m --min_periods=200 --sell_stop_pct=0.1 --profit_stop_enable_pct=6 --max_slippage_pct=0 --trend_ema=10 --neutral_rate=0 --oversold_rsi_periods=7 --oversold_rsi=5 --order_type=maker --silent
6.15%,2/6,zenbot sim gdax.LTC-USD --strategy=trend_ema --start=20190101 --end=20190201  --period=2m --min_periods=200 --sell_stop_pct=0.1 --profit_stop_enable_pct=6 --max_slippage_pct=0 --trend_ema=10 --neutral_rate=0 --oversold_rsi_periods=7 --oversold_rsi=8 --order_type=taker --silent
6.2%,2/6,zenbot sim gdax.LTC-USD --strategy=trend_ema --start=20190101 --end=20190201  --period=2m --min_periods=200 --sell_stop_pct=0.1 --profit_stop_enable_pct=6 --max_slippage_pct=0 --trend_ema=10 --neutral_rate=0 --oversold_rsi_periods=7 --oversold_rsi=8 --order_type=maker --silent
-3.34%,3/7,zenbot sim gdax.LTC-USD --strategy=trend_ema --start=20190101 --end=20190201  --period=2m --min_periods=200 --sell_stop_pct=0.1 --profit_stop_enable_pct=6 --max_slippage_pct=0 --trend_ema=10 --neutral_rate=0 --oversold_rsi_periods=7 --oversold_rsi=10 --order_type=taker --silent
-3.46%,3/7,zenbot sim gdax.LTC-USD --strategy=trend_ema --start=20190101 --end=20190201  --period=2m --min_periods=200 --sell_stop_pct=0.1 --profit_stop_enable_pct=6 --max_slippage_pct=0 --trend_ema=10 --neutral_rate=0 --oversold_rsi_periods=7 --oversold_rsi=10 --order_type=maker --silent
-19.26%,6/9,zenbot sim gdax.LTC-USD --strategy=trend_ema --start=20190101 --end=20190201  --period=2m --min_periods=200 --sell_stop_pct=0.1 --profit_stop_enable_pct=6 --max_slippage_pct=0 --trend_ema=10 --neutral_rate=0 --oversold_rsi_periods=7 --oversold_rsi=15 --order_type=taker --silent
-18.98%,6/9,zenbot sim gdax.LTC-USD --strategy=trend_ema --start=20190101 --end=20190201  --period=2m --min_periods=200 --sell_stop_pct=0.1 --profit_stop_enable_pct=6 --max_slippage_pct=0 --trend_ema=10 --neutral_rate=0 --oversold_rsi_periods=7 --oversold_rsi=15 --order_type=maker --silent
-39.57%,6/13,zenbot sim gdax.LTC-USD --strategy=trend_ema --start=20190101 --end=20190201  --period=2m --min_periods=200 --sell_stop_pct=0.1 --profit_stop_enable_pct=6 --max_slippage_pct=0 --trend_ema=10 --neutral_rate=0 --oversold_rsi_periods=7 --oversold_rsi=20 --order_type=taker --silent
-39.75%,6/13,zenbot sim gdax.LTC-USD --strategy=trend_ema --start=20190101 --end=20190201  --period=2m --min_periods=200 --sell_stop_pct=0.1 --profit_stop_enable_pct=6 --max_slippage_pct=0 --trend_ema=10 --neutral_rate=0 --oversold_rsi_periods=7 --oversold_rsi=20 --order_type=maker --silent
-23.35%,9/11,zenbot sim gdax.LTC-USD --strategy=trend_ema --start=20190101 --end=20190201  --period=2m --min_periods=200 --sell_stop_pct=0.1 --profit_stop_enable_pct=6 --max_slippage_pct=0 --trend_ema=10 --neutral_rate=0 --oversold_rsi_periods=7 --oversold_rsi=25 --order_type=taker --silent
-23.02%,9/11,zenbot sim gdax.LTC-USD --strategy=trend_ema --start=20190101 --end=20190201  --period=2m --min_periods=200 --sell_stop_pct=0.1 --profit_stop_enable_pct=6 --max_slippage_pct=0 --trend_ema=10 --neutral_rate=0 --oversold_rsi_periods=7 --oversold_rsi=25 --order_type=maker --silent
-9.58%,1/9,zenbot sim gdax.LTC-USD --strategy=trend_ema --start=20190101 --end=20190201  --period=2m --min_periods=200 --sell_stop_pct=0.1 --profit_stop_enable_pct=6 --max_slippage_pct=0 --trend_ema=10 --neutral_rate=auto --oversold_rsi_periods=5 --oversold_rsi=5 --order_type=taker --silent
-9.68%,1/9,zenbot sim gdax.LTC-USD --strategy=trend_ema --start=20190101 --end=20190201  --period=2m --min_periods=200 --sell_stop_pct=0.1 --profit_stop_enable_pct=6 --max_slippage_pct=0 --trend_ema=10 --neutral_rate=auto --oversold_rsi_periods=5 --oversold_rsi=5 --order_type=maker --silent
